,OrderId,CustomerId,Subscription,PaidDate,Total,Churn
181,1308,1166,1,2020-07-05,98.0,0
182,1307,1078,1,2020-07-05,49.0,0
183,1219,1078,1,2020-01-05,59.0,0
184,1218,1078,1,2020-01-05,49.0,0
185,1306,1165,1,2020-07-05,59.0,0
186,1305,1164,1,2020-07-05,59.0,0
187,1304,1163,1,2020-07-05,98.0,0
188,1303,1162,1,2020-07-05,59.0,0
189,1302,1161,1,2020-07-05,98.0,0
190,1301,1160,1,2020-06-05,49.0,0
191,1300,1159,1,2020-06-05,98.0,0
192,1298,1158,1,2020-06-05,98.0,0
193,1296,1156,1,2020-06-05,98.0,0
194,1295,1155,1,2020-06-05,49.0,0
195,1294,1154,1,2020-06-05,59.0,0
196,1292,1152,1,2020-06-05,49.0,0
197,1291,1151,1,2020-06-05,59.0,0
198,1290,1150,1,2020-06-05,49.0,0
199,1289,1149,1,2020-06-05,59.0,0
200,1288,1147,1,2020-06-05,59.0,0
201,1287,1145,1,2020-05-05,59.0,0
202,1286,1143,1,2020-05-05,49.0,0
203,1285,1141,1,2020-05-05,118.0,0
204,1284,1140,1,2020-05-05,59.0,0
205,1283,1139,1,2020-05-05,59.0,0
206,1282,1138,1,2020-05-05,79.0,0
207,1281,1137,1,2020-05-05,59.0,0
208,1280,1136,1,2020-04-05,79.0,0
209,1279,857,1,2020-04-05,59.0,0
210,1278,1135,1,2020-04-05,59.0,0
211,1276,1133,1,2020-04-05,69.0,0
212,1275,1132,1,2020-04-05,79.0,0
213,1274,1131,1,2020-04-05,98.0,0
214,1273,1130,1,2020-04-05,49.0,0
215,1272,1129,1,2020-04-05,84.0,0
216,1271,1128,1,2020-04-05,98.0,0
217,1270,1127,1,2020-04-05,59.0,0
218,1269,1126,1,2020-04-05,29.0,0
219,1267,1125,1,2020-04-05,59.0,0
220,1266,1124,1,2020-04-05,49.0,0
221,1265,1123,1,2020-04-05,98.0,0
222,1264,1122,1,2020-04-05,79.0,0
223,1263,1121,0,2020-04-05,98.0,0
224,1261,1119,1,2020-03-05,59.0,0
225,1260,1118,1,2020-03-05,49.0,0
226,1258,1116,1,2020-03-05,59.0,0
227,1257,1115,1,2020-03-05,118.0,0
228,1256,1114,1,2020-03-05,79.0,0
229,1255,1113,1,2020-03-05,79.0,0
230,1254,1112,1,2020-03-05,98.0,0
231,1253,1111,1,2020-03-05,49.0,0
232,1252,1110,1,2020-03-05,98.0,0
233,1251,1109,1,2020-03-05,49.0,0
234,1250,1065,1,2020-02-05,69.0,0
235,1248,1106,1,2020-02-05,59.0,0
236,1247,1105,1,2020-02-05,49.0,0
